movie_title,bag_of_words
Prom Night ,horror mystery friend hotel killer murder prom  
Mean Girls ,comedy bully clique high school high school girl secret  
Under the Tuscan Sun ,comedy drama romance author book vacation villa writer  
Gosford Park ,drama mystery country house murder producer servant shooting party  
The O.C. ,comedy drama romance california lawyer love orange county california wealth  
Peggy Sue Got Married ,comedy drama fantasy romance alternate history alternate timeline divorce high school reunion  
Birdman or (The Unexpected Virtue of Ignorance) ,comedy drama romance actor artist broadway play replacement stage  
Blue Jasmine ,drama congenital liar mental breakdown self deception snob talking to oneself  
United 93 ,drama history thriller flight passenger plane september 11 2001 terrorist  
Honey ,drama music romance choreographer dance dancer dancing hip hop  
Spy Hard ,action comedy 1990s dentist hit with a door martial arts museum  
The Fog ,fantasy horror california fog leper lighthouse ship  
Soul Surfer ,biography drama family sport christian christian film shark surfer surfing  
Catch-22 ,comedy drama war catch 22 friend insanity kneed in the groin military  
Observe and Report ,comedy crime drama male pubic hair mall police detective pubic hair security guard  
Conan the Destroyer ,action adventure fantasy gods princess queen rescue wizard  
Raging Bull ,biography drama sport boxing domestic violence hot temper jealousy rage  
Love Happens ,drama romance florist motivational speaker self help guru seminar widower  
Young Sherlock Holmes ,adventure fantasy mystery thriller cult death delusion girl sherlock holmes  
Fame ,comedy drama musical romance new york performing arts school student teacher  
127 Hours ,adventure biography drama thriller alone aron ralston based on autobiography canyon survival  
Small Time Crooks ,comedy crime apartment building crook new york city three word title written and directed by cast member  
Center Stage ,drama music romance ballet dance dancer dancing love  
Love the Coopers ,comedy christmas family dinner husband wife conflict husband wife kiss large family  
Catch That Kid ,comedy crime caper computer genius dog heist security chief  
Life as a House ,drama cancer construction house house construction neighbor  
Steve Jobs ,biography drama apple computer box office flop computer dialogue driven father daughter relationship  
"I Love You, Beth Cooper ",comedy romance cheerleader party popular girl speech valedictorian  
Youth in Revolt ,comedy drama romance alter ego boarding school love masturbation teen movie  
The Legend of the Lone Ranger ,action adventure western ambush hero masked hero outlaw texas ranger  
The Tailor of Panama ,drama thriller canal panama president spy tailor  
Blow Out ,mystery thriller conspiracy political conspiracy recording sound truth  
Getaway ,action crime thriller die hard scenario earth viewed from space race against time race car driver title at the end  
The Ice Storm ,drama ice ice storm storm thanksgiving virgin  
And So It Goes ,comedy drama romance four word title grandparent grandchild relationship reference to facebook reference to the internet singer  
Troop Beverly Hills ,adventure comedy beverly hills hotel divorce girl troop wilderness  
Being Julia ,comedy drama romance diva marriage open marriage revenge social climber  
9½ Weeks ,drama romance blindfolded woman control male dominance sex game sex in public  
Dragonslayer ,action adventure fantasy apprentice dragon king kingdom wizard  
The Last Station ,biography drama romance countess leo tolstoy russian wealth writing  
Ed Wood ,biography comedy drama 1950s director friend friendship transvestism  
Labor Day ,drama baseball baseball practice escaped convict neighbor tied to a chair  
Mongol: The Rise of Genghis Khan ,adventure biography drama history war epic genghis khan one word title slave starving  
RocknRolla ,action crime thriller accountant finger gun homosexual killed in an elevator painting  
Megaforce ,action sci-fi dictator electronic music score one word title secret headquarters soldier  
Hamlet ,drama classic literature denmark funeral madness prince  
Mao's Last Dancer ,biography drama music romance ballet beijing dancer love village  
Midnight Special ,adventure drama sci-fi thriller cult father son relationship gas station on the run supernatural ability  
Anything Else ,comedy romance love at first sight new york city sex teacher writer  
The Railway Man ,biography drama romance war japanese soldier physical torture pow camp prisoner of war reference to adolf hitler  
Unforgettable ,drama mystery hyperthymesia new york city police  
The White Ribbon ,drama mystery children doctor mysterious event pastor small village  
Restoration ,horror nan  
The Wraith ,action horror romance sci-fi thriller arizona death gang police sheriff  
The Salton Sea ,crime drama mystery thriller male in shower murder neighbor neighbor relationship remote control car sex scene  
Metallica Through the Never ,music headbanger metallica roadie song in title standing on the roof of a car  
The Informers ,crime drama thriller breasts female nudity male pubic hair pubic hair sex scene  
Carlos ,biography crime drama thriller opec pubic hair revolutionary terrorism true crime  
I Come with the Rain ,thriller gangster hong kong missing person missing son serial killer  
One Man's Hero ,action drama history romance war western american battalion catholic mexican sergeant  
Day of the Dead ,horror bunker experiment military research scientist  
I Am Wrath ,action crime drama thriller conspiracy female scientist mugging police detective tattoo  
Renaissance ,action animation sci-fi thriller future kidnapping missing file paris france year 2054  
Red Sonja ,action adventure fantasy cult film psychotronic sword and sorcery talisman warrior  
Red Lights ,drama horror mystery thriller fraud physicist psychic skeptic tailing  
Superbad ,comedy black comedy bromance party school teen comedy  
Madea Goes to Jail ,comedy crime drama adaptation directed by original author cross dressing madea series remake sequel  
Wolves ,action horror bar female nudity murder small town werewolf  
Step Up 2: The Streets ,drama music musical romance audition dance kissing in the rain student subway  
Hoodwinked! ,action animation comedy crime family animal axe red riding hood wolf woodsman  
Hotel Rwanda ,drama history war atrocity central africa ethnic warfare united nations peace keeping force united nations soldier  
Hitman ,action crime drama thriller hitman impersonation see through dress topless female nudity woman on top  
Black Nativity ,drama family music musical based on stage musical based on the bible christmas color in title nativity  
The Prince ,action thriller assassin fight mechanic rescue rival  
City of Ghosts ,crime drama thriller bag over head buddhist temple loss of friend male bonding nightclub  
The Others ,fantasy horror thriller curtain haunting mansion mute xeroderma pigmentosum  
Aliens ,action adventure sci-fi alien human versus alien monster rescue mission space marine  
My Fair Lady ,drama family musical romance colonel flower girl professor street wager  
I Know What You Did Last Summer ,horror mystery thriller beach corpse fourth of july overalls revenge  
Let's Be Cops ,comedy friendship between men impersonating a police officer mobster party police officer  
Sideways ,adventure comedy drama romance actor california teacher wine writer  
Beerfest ,comedy beer competition germany oktoberfest prostitute  
Halloween ,horror thriller halloween masked killer michael myers slasher trick or treat  
Good Boy! ,comedy drama family fantasy sci-fi dog friend neighborhood planet star  
The Best Man Holiday ,comedy drama childbirth christmas gay slur infidelity punched in the nose  
Smokin' Aces ,action crime drama thriller casino fbi mafia mob hit sniper  
Saw 3D: The Final Chapter ,horror mystery blood splatter self help guru sequel support group survivor  
40 Days and 40 Nights ,comedy romance female on male rape lent male rear nudity masturbation sex  
A Night at the Roxbury ,comedy music romance 1990s bar car accident nightclub whipped cream  
Beastly ,drama fantasy romance love maid newscaster student tutor  
The Hills Have Eyes ,horror desert horror movie remake murder of family rape slasher  
Dickie Roberts: Former Child Star ,comedy dental braces dental headgear former child star panties white panties  
"McFarland, USA ",biography drama sport coach high school place name in title school student  
Lottery Ticket ,comedy block party eurocopter ec120 colibri fortune cookie lottery ticket reverend  
ATL ,comedy crime drama music romance high school rollerskating rink spelman college twin voice over narration  
Pitch Perfect ,comedy music romance a cappella competition dj female protagonist lesbian  
Summer Catch ,comedy drama romance sport baseball baseball player night rivalry summer  
A Simple Plan ,crime drama thriller bag of money found money minnesota screenplay adapted by author snow  
They ,horror mystery thriller darkness friend kiss nightmare suicide  
Larry the Cable Guy: Health Inspector ,comedy romance diner food poisoning health inspector restaurant undercover  
The Adventures of Elmo in Grouchland ,adventure comedy family fantasy musical based on tv series blanket box office flop rescue sesame street  
Brooklyn's Finest ,crime drama thriller catholic corrupt cop new york city police detective police officer killed  
55 Days at Peking ,action adventure drama history war ambassador boxer rebellion china colonialism peking china  
Evil Dead ,horror book of the dead demon h.p. lovecraft lesbian kiss promise  
My Life in Ruins ,comedy romance greece greek tour bus tour guide tourist  
American Dreamz ,comedy music chief of staff contest president singing terrorist  
Superman IV: The Quest for Peace ,action adventure family sci-fi box office flop dc comics hair nuclear disarmament superman  
How She Move ,drama dance dance contest loss of sister step dancing teenager  
Running Scared ,action crime drama thriller adult child friendship corrupt cop fistfight gangster thug  
Bobby Jones: Stroke of Genius ,biography drama romance sport colon in title competition five word title golf temper  
Shanghai Surprise ,adventure crime drama romance china missionary opium villain year 1937  
The Illusionist ,drama mystery romance thriller duchess illusionist magician prince supernatural power  
Roar ,adventure horror thriller chase dead man jungle killing a lion killing a tiger  
Veronica Guerin ,biography crime drama thriller criminal drug lord gunshot irish journalist  
Escobar: Paradise Lost ,crime drama romance thriller colombia dream love surfer village  
Southland Tales ,comedy mystery sci-fi thriller amnesia boxer conspiracy police porn star  
Dragon Hunters ,adventure animation family fantasy cgi film computer animation dragon hunter  
Damnation Alley ,sci-fi cockroach desert ghost town giant spider travel  
The Apparition ,horror thriller e mail evil spirit experiment fear supernatural  
My Girl ,comedy drama family romance best friend funeral girl overalls summer  
Fur: An Imaginary Portrait of Diane Arbus ,biography drama romance character name in title diane arbus male full frontal nudity photographer pubic hair  
Wall Street ,crime drama 1980s argument critique of capitalism f word fired from the job  
Sense and Sensibility ,drama romance 1810s female protagonist horseback riding inheritance three word title  
Becoming Jane ,biography drama romance country estate jane austen lady love writing  
Sydney White ,comedy romance college college girl female protagonist sorority sorority house  
House of Sand and Fog ,drama auction home house iranian marriage  
Dead Poets Society ,comedy drama education english teacher poet professor student  
Dumb & Dumber ,comedy briefcase full of money character repeating someone else's dialogue character says i love you friendship reference to cinderella  
When Harry Met Sally... ,comedy drama romance friendship love male female friendship new york sex  
The Verdict ,drama archdiocese court hospital lawyer malpractice  
Road Trip ,comedy blonde college friend highway travel road trip  
Varsity Blues ,comedy drama romance sport coach coyote popularity quarterback texas  
The Artist ,comedy drama romance 1920s jack russell terrier modern silent movie movie star movie studio  
The Unborn ,drama fantasy horror mystery thriller babysitting experiment nightmare possession twin  
Moonrise Kingdom ,adventure comedy drama romance 1960s boy scouts boy scouts camp coming of age young love  
The Texas Chainsaw Massacre: The Beginning ,horror cannibal car accident leatherface psychopath slaughterhouse  
The Young Messiah ,drama based on novel  
The Master of Disguise ,comedy family disguise mask master of disguise restaurant waiter  
Pan's Labyrinth ,drama fantasy war fairy fairy tale faun princess spain  
The Messengers ,drama fantasy mystery thriller nan  
See Spot Run ,action comedy crime family boy fbi mailman van witness protection  
Baby Boy ,crime drama romance thriller cartoon on tv family relationships physical abuse single parent two word title  
The Roommate ,drama horror thriller animal abuse(non graphic) cat killer college dead cat death of cat  
Joe Dirt ,adventure comedy drama first part grand canyon highway travel indian janitor  
Double Impact ,action crime boat hong kong murder tunnel twins  
Hot Fuzz ,action comedy mystery accident conspiracy police police officer village  
The Women ,comedy drama beauty salon divorce fashion new york perfume  
Vicky Cristina Barcelona ,drama romance art artist painter sex summer  
Arn: The Knight Templar ,action adventure drama romance war first part holy land knight templar monastery sword and shield  
Boys and Girls ,comedy drama romance best friend break up friendship graduation male in underwear  
White Oleander ,drama california foster home love oleander prison  
Jennifer's Body ,comedy fantasy horror cannibalism cheerleader condom hook for hand satanic ritual  
Drowning Mona ,comedy crime mystery crying woman plot suspect waitress younger man older woman relationship  
Radio Days ,comedy beach cigarette girl radio woman holding a baby working class  
Remember Me ,drama romance binge drinking new york new york city september 11 2001 suicide  
How to Deal ,comedy drama romance best friend high school mother sister wedding  
My Stepmother Is an Alien ,comedy romance sci-fi alien earth female alien mission secret  
Philadelphia ,drama aids city name in title gay homophobia lawyer  
The Thirteenth Floor ,mystery sci-fi thriller amnesia barricade letter time virtual reality  
The Cookout ,comedy flatulence interracial marriage marriage  
Meteor ,action drama sci-fi thriller asteroid meteor nasa nuclear weapon satellite  
Duets ,comedy drama music convict karaoke middle america salesman singer  
Hollywood Ending ,comedy romance blind director psychosomatic blindness self deprecating studio  
Detroit Rock City ,comedy music band concert high school kiss teenager  
Highlander ,action adventure fantasy combat head cut off immortal scotland swordsman  
Things We Lost in the Fire ,drama best friend dinner garage narcotics anonymous recovery  
Steel ,action crime sci-fi fight gang junkyard military soldier  
The Immigrant ,drama romance immigrant immigration magician money prostitution  
The White Countess ,drama history romance war countess diplomat japanese russian shanghai  
Trance ,crime drama mystery thriller amnesia criminal heist hypnotherapy lost painting  
Soul Plane ,comedy airline airplane bathroom sex toilet  
Welcome to the Sticks ,comedy romance alcohol alcoholic drink drunken man france provence  
Good ,drama romance war censorship children corpse heil hitler suffering  
Enter the Void ,drama fantasy drug deal drugs explicit sex love stripper  
Vamps ,comedy horror romance murder new york city one word title vampire vampire slayer  
Hachi: A Dog's Tale ,drama family dog human animal relationship japanese loyalty waiting  
Zulu ,crime drama thriller apartheid corpse male nudity murder police officer  
The Homesman ,drama western abusive marriage pastor prison wagon roast pig suicide by hanging  
Juwanna Mann ,comedy drama romance sport basketball dodge viper hit in the crotch male nudity the star spangled banner  
Lilyhammer ,comedy crime drama mafia mob norway steve van  
Ararat ,drama war armenian armenian genocide customs agent genocide prayer  
Madison ,drama sport boat racing hydroplane loyalty one word title scolding  
Slow Burn ,drama mystery thriller district attorney interview murder prosecutor reporter  
Wasabi ,action comedy crime drama thriller french inheritance japan letter police detective hero  
Slither ,comedy horror sci-fi alien b movie sex slug small town  
Beverly Hills Cop ,action comedy crime drug dealer drugs murder police brutality police shootout  
Home Alone ,comedy family airport child protagonist child swearing christmas home alone  
3 Men and a Baby ,comedy drama family 1980s baby heroin package questioned by police  
Tootsie ,comedy drama romance actor actress friend love reputation  
Top Gun ,action drama romance flying gay subtext machismo male objectification pilot  
"Crouching Tiger, Hidden Dragon ",action drama romance bare midriff china magical realism martial arts sword  
American Beauty ,drama domestic violence drug dealer homosexuality midlife crisis unfaithfulness  
The King's Speech ,biography drama history romance king king george vi speech speech therapist throne  
Twins ,comedy crime bare chested male brother catholic orphanage long lost siblings twins  
Scream: The TV Series ,crime drama horror mystery thriller generation y millennial generation murder teenage girl throat slitting  
The Yellow Handkerchief ,drama romance louisiana overalls road trip southern u.s. teenage boy  
The Color Purple ,drama book strap girl racial discrimination racial tension stereotype  
Tidal Wave ,action comedy drama thriller korea lifeguard single father tears tsunami  
The Imitation Game ,biography drama thriller war crossword puzzle cryptography enigma code gay lead character world war two  
Private Benjamin ,comedy war camera shot of feet female stockinged feet loss of husband pantyhose suntan pantyhose  
Coal Miner's Daughter ,biography drama music musical country music kissing while having sex poverty singer title based on song  
Diary of a Wimpy Kid ,comedy family cheese diary friend middle school school  
Mama ,fantasy horror aunt children death of sister forest hiding in a closet  
National Lampoon's Vacation ,adventure comedy amusement park dog family vacation national lampoon series vacation  
Bad Grandpa ,comedy child beauty pageant grandson hidden camera jackass road trip  
The Queen ,biography drama monarchy prime minister princess diana queen speech  
Beetlejuice ,comedy fantasy attic ghost surrealism teenage girl yuppie  
Why Did I Get Married? ,comedy drama marriage overweight psychologist secret work  
Little Women ,drama family romance civil war female protagonist post civil war reference to friedrich schiller u.s. civil war  
The Woman in Black ,drama fantasy horror thriller afterlife baby boy bird in a cage ghost reunited family  
When a Stranger Calls ,horror thriller babysitting cell phone high school nightmare teenager  
Big Fat Liar ,adventure comedy family brunette film producer liar prank stunt  
The Deer Hunter ,drama war escape friend party pittsburgh steelers vietnam  
Wag the Dog ,comedy drama death election hollywood president scandal  
The Lizzie McGuire Movie ,adventure comedy family music romance best friend roma singer spaghetti teenager  
Snitch ,action drama thriller cigarette smoking dea drugs inspired by true events undercover  
Krampus ,comedy fantasy horror christmas german holiday krampus santa claus  
The Faculty ,horror mystery sci-fi alien high school ohio photographer water  
What's Love Got to Do with It ,biography drama music abusive husband love singer tina turner violence  
Cop Land ,crime drama thriller corruption faked death falling off a roof internal affairs nypd  
Not Another Teen Movie ,comedy cheerleader foreign exchange student incestuous desire incestuous kiss prom  
End of Watch ,crime drama thriller lapd police police officer south central los angeles street gang  
The Skulls ,action crime drama thriller college friend ivy league secret society suicide  
The Theory of Everything ,biography drama romance based on memoir cambridge university husband wife relationship lou gehrig's disease physicist  
Malibu's Most Wanted ,comedy crime los angeles california person in car trunk racial impersonation south asian street gang  
Where the Heart Is ,comedy drama romance birth oklahoma photographer tennessee wal mart  
Lawrence of Arabia ,adventure biography drama history war arab british military desert ottoman empire t.e. lawrence  
Halloween II ,horror halloween hospital michael myers rampage vomiting  
Wild ,adventure biography drama female protagonist grief hiking loss of mother mother daughter relationship  
The Last House on the Left ,crime horror thriller kidnapping lake microwave oven psychopath woods  
The Wedding Date ,comedy romance chick flick escort male escort wedding wedding date  
Halloween: Resurrection ,comedy horror thriller cult film halloween killer michael myers serial killer  
The Princess Bride ,adventure family fantasy romance fairy tale giant pirate princess true love  
The Great Debaters ,biography drama college debate student texas wiley college  
Drive ,crime drama kissing in an elevator mythical hero neo noir protective male silent protagonist  
Confessions of a Teenage Drama Queen ,comedy family music romance band friend new york city suburb teenager  
The Object of My Affection ,comedy drama romance baby dancing gay name calling penis slur  
28 Weeks Later ,drama horror sci-fi paris france rage sniper u.s. army zombie apocalypse  
When the Game Stands Tall ,drama family sport coach high school football  
Because of Winn-Dixie ,comedy drama family 10 year old dog florida girl supermarket  
Love & Basketball ,drama romance sport basketball movie female basketball player high school nba title directed by female  
Grosse Pointe Blank ,action comedy crime romance thriller assassin high school high school reunion reunion suburb  
All About Steve ,comedy romance blind date crossword puzzle eccentric fall mine shaft  
Book of Shadows: Blair Witch 2 ,adventure fantasy horror mystery thriller convenience store digit in title punctuation in title violence witch  
The Craft ,drama fantasy horror thriller coven occult outcast spell witch  
Match Point ,drama romance thriller extramarital affair infidelity irony of fate surprise ending tennis  
Ramona and Beezus ,adventure comedy family fantasy aunt cat death of pet girl no opening credits  
The Remains of the Day ,drama romance butler housekeeper manor servant service  
Boogie Nights ,drama 1970s adult entertainment industry nightclub porn industry san fernando valley california  
Nowhere to Run ,action crime drama romance thriller business escaped convict farm motorcycle widow  
Flicka ,adventure drama family father son relationship horse horse ranch ranch wild mustang  
The Hills Have Eyes II ,horror desert fight hill murder mutant  
Urban Legends: Final Cut ,horror mystery thriller film set movie set sequel slow motion urban legend  
Tuck Everlasting ,drama family fantasy romance fountain of youth immortality secret woods young man  
The Marine ,action drama thriller beating marine muscleman tied up tough guy  
Keanu ,action comedy car chase gangsta gun fight hitman kitten  
Country Strong ,drama music country music panties pink panties relapse songwriter  
Disturbing Behavior ,horror mystery sci-fi thriller blue ribbon high school jacket jock yogurt  
The Place Beyond the Pines ,crime drama thriller bank carnival motorcycle police rookie cop  
The November Man ,action crime thriller critically bashed premarital sex sex scene sex standing up stripper  
Eye of the Beholder ,drama mystery thriller chicago illinois false identity femme fatale new york city spying  
The Hurt Locker ,drama history thriller war army bomb dangerous job death iraq  
Firestarter ,action horror sci-fi thriller captain experiment fire psychic secret government agency  
Killing Them Softly ,crime thriller exploding car hit by a car poker game punched in the face shot to death  
A Most Wanted Man ,crime drama thriller intelligence intelligence agency secret service surveillance camera war on terror  
Freddy Got Fingered ,comedy animator bamboo cane cartoonist sausage slacker  
The Pirates Who Don't Do Anything: A VeggieTales Movie ,adventure animation comedy family 17th century king pirate vegetable waiter  
U2 3D ,documentary music 3d in title digit in title rock band rocker u2  
Highlander: Endgame ,action adventure fantasy sci-fi battle explosion immortal revenge sequel to cult film  
Idlewild ,crime drama musical romance gangster playing piano song and dance speakeasy written and directed by cast member  
One Day ,drama romance 23 year time span accidental death best friend loss of loved one male female friendship  
Whip It ,drama sport beauty pageant friend pageant roller derby texas  
Knockaround Guys ,crime drama thriller mob mobster money montana sheriff  
Confidence ,crime thriller con grifter lap dance organized crime shot in the forehead  
The Muse ,comedy directed by star muse satire screenwriter tiffany's  
De-Lovely ,biography drama music musical cole porter composer love party tears  
New York Stories ,comedy drama romance 12 year old artist hotel three word title written and directed by cast member  
Barney's Great Adventure ,adventure family apostrophe in title critically bashed hit on the head with a ball punctuation in title tyrannosaurus rex  
The Man with the Iron Fists ,action blacksmith box office flop chop socky critically bashed village  
Home Fries ,comedy drama romance baby infidelity pilot pregnant waitress  
Here on Earth ,drama romance diner love private school school small town  
Brazil ,drama sci-fi black comedy bureaucracy dream terrorist wrongful arrest  
Raise Your Voice ,family music romance music school scholarship small town stage fright three word title  
The Dead Zone ,drama fantasy mystery sci-fi psychic psychic power psychometry spin off supernatural power  
The Big Lebowski ,comedy crime death drug nihilism rug white russian  
Black Snake Moan ,drama music breasts nipples visible through clothing nudity rear entry sex white panties  
Dark Blue ,crime drama romance thriller corrupt criminal investigation lapd police  
A Mighty Heart ,biography drama history thriller war fbi journalist missing pakistan reporter  
Whatever It Takes ,comedy drama romance male objectification manipulative behavior modern day adaptation narcissistic woman promiscuous woman  
Boat Trip ,comedy gay hot air balloon rejecting a marriage proposal talking to a dog vomiting on someone  
The Importance of Being Earnest ,comedy drama romance comedy of manners false identity farce love period drama  
The Love Letter ,fantasy romance antique desk letter love time travel  
Hoot ,adventure comedy family fight florida montana owl school  
In Bruges ,comedy crime drama bruges bullet hope irish tourist  
Peeples ,comedy romance african american  
The Rocker ,comedy music 20 years later drummer hdtv rock band rock star  
Post Grad ,comedy romance graduation graduation speech title directed by female tv studio unemployment  
Promised Land ,drama corporate greed corporation natural gas salesman small town  
Whatever Works ,comedy romance atheist limp quantum mechanics religion runaway  
The In Crowd ,drama mystery thriller clique country club female protagonist lip gloss title directed by female  
Three Burials ,adventure crime drama mystery western cemetery friend journey mexico promise  
Jakob the Liar ,drama war german ghetto hope nazi radio  
Kiss Kiss Bang Bang ,comedy crime mystery actor detective sergeant hotel nightclub thief  
Idle Hands ,comedy fantasy horror thriller breasts female frontal nudity nude woman murdered slow motion scene trailer home  
Mulholland Drive ,drama mystery thriller amnesia car accident female protagonist lesbian sex loss of memory  
Blood and Chocolate ,drama fantasy horror romance colorado love murder rocky mountains werewolf  
You Will Meet a Tall Dark Stranger ,comedy drama romance call girl charlatan fortune teller manuscript writer  
Never Let Me Go ,drama romance sci-fi boarding school childhood love love triangle organ donation  
The Company ,drama history thriller cia mole revolution spy ussr  
Transsiberian ,crime drama mystery thriller 35 mm digital camera drugs murder train travel  
The Clan of the Cave Bear ,adventure drama fantasy cave bear cro magnon neanderthal survival tradition  
Crazy in Alabama ,comedy crime drama abusive husband alabama boy dream sheriff  
Funny Games ,crime drama horror thriller breaking the fourth wall looking at the camera remake serial killer violence  
Listening ,drama sci-fi thriller divorce papers fainting mind control playground technology  
Felicia's Journey ,drama thriller caterer catering chef friend lawn mower  
Metropolis ,drama sci-fi art deco bible quote dance silent film worker  
District B13 ,action crime thriller bomb gang police sister undercover cop  
Things to Do in Denver When You're Dead ,crime drama death finger gun video message what happened to epilogue wheelchair  
The Assassin ,action drama black magic china love refusal to kill wuxia  
Buffalo Soldiers ,comedy crime drama thriller war berlin wall germany murder soldier specialist  
The Return ,drama mystery thriller boy photograph return russian wilderness  
Ong-bak 2 ,action cult film elephant jungle martial arts stylized violence  
Centurion ,action adventure drama history thriller war mushroom mute roman soldier screaming wood carving  
Silent Trigger ,action drama thriller assassin die hard scenario rangefinder soldier veteran  
The Midnight Meat Train ,fantasy horror mystery butcher girlfriend mute character photographer subway  
Winnie Mandela ,biography drama history character name in title nelson mandela one word title reference to winnie mandela south africa  
The Son of No One ,crime drama thriller housing project letter man with glasses murder subjective camera  
All the Queen's Men ,action comedy drama war apostrophe in title behind enemy lines box office flop gay interest punctuation in title  
The Good Night ,comedy drama fantasy music romance commercial dream dreaming girl new york city  
Bathory: Countess of Blood ,biography drama fantasy history bathory countess female protagonist legend virgin blood  
Khumba ,adventure animation family herd ostrich waterhole wildebeest zebra  
Automata ,action sci-fi thriller child hitman dystopia future robot self repair  
Dungeons & Dragons: Wrath of the Dragon God ,action adventure fantasy combat helmet martial arts medieval times violence  
Chiamatemi Francesco - Il Papa della gente ,biography nan  
Shinjuku Incident ,action crime drama thriller chinese gang gratitude immigrant japan  
Pandaemonium ,biography drama betrayal french revolution friendship poet revolution  
Groundhog Day ,comedy fantasy romance cult film existentialism groundhog day time loop trapped in a time loop  
Magic Mike XXL ,comedy drama music male bonding male friendship male objectification muscular stripper  
Romeo + Juliet ,drama romance hawaiian shirt love shakespeare adaptation shakespeare play star crossed lovers  
Sarah's Key ,drama war apartment escape jewish family journalist key  
Freedom ,drama family music 19th century christian film hymn religion slave  
Unforgiven ,drama western englishman leaving flowers on a grave one last job reputation visiting wife's grave  
Manderlay ,drama cotton female frontal nudity flogging gangster slavery  
Slumdog Millionaire ,drama romance cheating falling from height murder non professional cast slum  
Fatal Attraction ,drama romance thriller borderline personality disorder killing a pet madame butterfly new york new york city  
Pretty Woman ,comedy romance businessman falling in love with a prostitute hotel prostitute rich man poor woman  
Towering Inferno ,comedy nan  
Crocodile Dundee II ,action adventure comedy australia australian crime boss crocodile gangster  
Broken Horses ,action crime drama mystery thriller nan  
Born on the Fourth of July ,biography drama war desert drunkenness religious mother strict mother vietnam war  
Cool Runnings ,adventure comedy family sport bobsled coach jamaica olympic games olympics  
My Bloody Valentine ,horror thriller coma death miner valentine valentine's day  
Stomp the Yard ,drama music romance atlanta georgia competition dancer death fraternity  
The Spy Who Loved Me ,action adventure sci-fi thriller 1970s cult film official james bond series submarine world war three  
Ghost Hunters ,documentary ghost paranormal paranormal research shaky cam  
Urban Legend ,horror mystery thriller campus death friend professor urban legend  
Good Deeds ,comedy drama romance businessman fight mean brother narrated by character wordplay in title  
White Fang ,adventure drama alaska dog friendship gold yukon  
Superstar ,comedy romance dancing orphan school special education student  
The Iron Lady ,biography drama history british prime minister female prime minister politics prime minister told in flashback  
Jonah: A VeggieTales Movie ,adventure animation comedy drama family musical anthropomorphism pirate pirate ship tomato whale  
Poetic Justice ,drama romance african american mail carrier poetry postal worker south central los angeles  
All About the Benjamins ,action comedy crime thriller black comedy bounty hunter diamond machismo money  
Vampire in Brooklyn ,comedy fantasy horror romance blood destiny nightmare partner vampire  
Exorcist II: The Heretic ,horror demon exorcism locust priest repressed memory  
An American Haunting ,horror mystery thriller flashback lifting someone into the air paranormal phenomena voice over letter year 1818  
My Boss's Daughter ,comedy romance boss' daughter crush house sitter housesitting love interest  
A Perfect Getaway ,adventure mystery thriller cliff hawaii island newlywed waterfall  
Our Family Wedding ,comedy romance california love marriage wedding wedding dress  
Dead Man on Campus ,comedy college college roommate party roommate student  
Tea with Mussolini ,comedy drama war ambassador american art english italy  
Thinner ,fantasy horror death doctor gypsy judge lawyer  
"New York, New York ",drama music musical romance love musician saxophonist singer songwriter  
Crooklyn ,comedy drama argument birthday bully coming of age semi autobiographical  
I Think I Love My Wife ,comedy drama romance banker investment investment banker marriage sex  
Jason X ,action horror sci-fi thriller jason voorhees lake machete scientist slasher  
Bobby ,drama history campaign chess friend hotel senator  
Head Over Heels ,comedy mystery romance apartment fast motion scene model private investigation suspected murder  
Fun Size ,adventure comedy adult humor best friend friend halloween teenage girl  
The Diving Bell and the Butterfly ,biography drama arc de triomphe paris based on autobiography coma elle magazine male frontal nudity  
Little Children ,drama romance adulterous wife bar dysfunctional marriage sex offender suburb  
Gossip ,drama mystery thriller college college campus gossip rape sex  
A Walk on the Moon ,drama adulterous wife cheating wife summer unfaithfulness woodstock  
Catch a Fire ,biography drama history attack coach colonel jail oil refinery  
Soul Survivors ,drama horror mystery thriller car accident college ghost girl in panties white panties  
Jefferson in Paris ,biography drama history romance 18th century ambassador french revolution friendship thomas jefferson  
Easy Virtue ,comedy romance estate female frontal nudity female nudity no panties unhappy marriage  
Caravans ,action adventure history afghanistan caravan rebel russian tribe  
Mr. Turner ,biography drama history prism rented room scrofula sketching sunrise  
Wild Grass ,drama romance dentist letter pilot skateboard wallet  
Amen. ,biography crime drama war jesuit jew pope priest ss  
Reign of Assassins ,action martial arts sword fight wuxia  
The Lucky Ones ,comedy drama war college tuition guitar road trip soldier stranded  
Margaret ,drama accident bus loss of virginity new york city virginity  
Stan Helsing ,comedy horror dollar bill double entendre escaped convict halloween striptease  
Flipped ,comedy drama romance apology falling in love multiple perspectives narrated by a girl younger version of character  
Brokeback Mountain ,drama romance gay relationship homosexuality mountain ranch rodeo  
Clueless ,comedy romance female protagonist high school makeover matchmaker popularity  
Far from Heaven ,drama romance african american catastrophe family relationships farewell scene therapy  
Hot Tub Time Machine 2 ,comedy sci-fi acid trip gameshow hot tub time lord time machine  
Dekalog ,drama meaning of life moral challenge morality search for meaning ten commandments  
Quills ,biography drama asylum lust male pubic hair penis pubic hair  
Seven Psychopaths ,comedy crime dognapping gangster misfiring gun screenwriter shih tzu  
